Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SITAS,11,Gol,29,38,87,46,-,-
GEVP,12,Pase,29,43,87,44,68,46
GEVP,6,Perdida,29,47,67,35,-,-
SITAS,2     ,Recupero,29,49,44,7,-,-
SITAS,2     ,Pase,29,49,41,8,67,10
SITAS,6,Pase,29,50,67,8,64,35
SITAS,10,Pase,30,0,99,49,78,12
SITAS,7,Pase,30,1,72,11,84,38
SITAS,11,Gol,30,4,85,41,-,-
GEVP,12,Pase,30,4,87,43,66,29
GEVP,11,Pase,30,7,63,27,79,63
GEVP,12,Pase,30,8,78,56,71,95
GEVP,6,Pase,30,10,71,94,28,84
GEVP,2,Pase,30,12,30,85,22,51
GEVP,11,Errado,30,14,26,54,-,-
SITAS,10,reb_def,30,14,11,54,-,-
SITAS,10,Pase,30,15,20,58,22,85
SITAS,2     ,Pase,30,17,24,90,37,73
SITAS,10,Pase,30,18,43,68,69,91
SITAS,11,Pase,30,20,71,91,55,32
SITAS,7,Pase,30,22,55,38,80,17
SITAS,7,Gol,30,24,78,14,-,-
GEVP,12,Pase,30,27,87,50,77,17
GEVP,5,Pase,30,28,79,14,84,49
GEVP,12,Pase,30,29,82,45,69,11
GEVP,5,Pase,30,32,68,11,37,9
GEVP,8,Pase,30,34,52,6,42,22
GEVP,5,Pase,30,36,40,19,20,43
GEVP,2,Errado,30,37,21,39,-,-
SITAS,2     ,reb_def,30,40,10,56,-,-
SITAS,2     ,Pase,30,43,10,59,39,95
SITAS,10,Pase,30,46,61,94,43,53
SITAS,7,Pase,30,49,46,41,31,87
SITAS,2     ,Pase,30,50,38,88,62,81
SITAS,11,Pase,30,51,69,86,50,47
SITAS,7,Pase,30,53,55,49,65,18
SITAS,6,Pase,30,54,63,14,78,30
SITAS,10,Errado,30,56,84,36,-,-
GEVP,11,reb_def,30,58,81,54,-,-
GEVP,11,Pase,30,59,82,56,55,85
GEVP,8,Errado,31,0,38,68,-,-
GEVP,8,reb_of,31,2,19,56,-,-
GEVP,8,Pase,31,2,14,56,15,19
GEVP,5,Pase,31,4,15,16,2,42
GEVP,8,Pase,31,7,3,33,10,13
GEVP,5,Errado,31,9,14,22,-,-
SITAS,10,Foul,31,13,16,65,-,-
GEVP,8,Pase,31,16,17,64,25,43
GEVP,2,Gol,31,18,22,44,-,-
SITAS,10,Pase,31,21,16,50,24,22
SITAS,2     ,Pase,31,22,24,21,21,50
SITAS,10,Pase,31,24,23,49,31,86
SITAS,4,Pase,31,25,30,90,71,91
SITAS,7,Pase,31,27,66,90,54,66
SITAS,10,Pase,31,29,58,79,54,29
SITAS,6,Pase,31,30,55,28,74,16
SITAS,11,Pase,31,33,73,15,88,82
SITAS,11,Errado,31,35,87,79,-,-
SITAS,11,Foul,31,37,83,38,-,-
GEVP,12,reb_def,31,37,83,38,-,-
GEVP,12,Pase,31,38,83,37,62,7
GEVP,5,Pase,31,41,62,5,41,89
GEVP,12,Pase,31,42,40,85,10,94
GEVP,8,Pase,31,45,17,93,37,75
GEVP,11,Pase,31,46,40,85,53,39
GEVP,5,Pase,31,48,53,37,41,89
GEVP,2,Pase,31,50,50,94,46,28
GEVP,5,Pase,31,52,41,26,39,83
GEVP,12,Pase,31,53,44,82,25,40
SITAS,2     ,Foul,31,55,10,53,-,-
GEVP,5,Pase,32,2,10,58,27,87
GEVP,8,Pase,32,5,27,92,34,28
GEVP,12,Pase,32,7,37,29,21,50
GEVP,5,Gol,32,11,23,61,-,-
SITAS,2     ,Pase,32,11,11,45,29,16
SITAS,10,Pase,32,14,23,7,47,44
SITAS,4,Perdida,32,17,47,51,-,-
GEVP,6,Pase,32,24,99,65,90,42
GEVP,12,Pase,32,26,96,43,74,96
GEVP,5,Pase,32,27,73,93,75,78
GEVP,6,Pase,32,28,75,79,52,93
GEVP,5,Pase,32,31,42,92,2,92
GEVP,2,Pase,32,33,3,90,3,65
GEVP,8,Pase,32,34,4,62,17,95
GEVP,5,Pase,32,37,10,95,33,70
GEVP,2,Pase,32,40,34,77,26,9
GEVP,8,Pase,32,41,26,7,14,13
GEVP,5,Pase,32,42,16,14,41,12
SITAS,4,Foul,32,48,11,45,-,-
GEVP,8,Pase,32,58,7,53,14,32
GEVP,5,Pase,33,0,13,32,2,48
GEVP,8,Gol,33,1,2,49,-,-
SITAS,4,Pase,33,4,11,49,19,23
SITAS,2     ,Pase,33,21,19,22,30,85
SITAS,4,Pase,33,22,33,81,41,49
SITAS,11,Pase,33,25,46,49,63,8
SITAS,7,sub_out,33,24,1,4,-,-
SITAS,15,sub_in,33,24,1,8,-,-
SITAS,10,Pase,33,27,56,8,88,13
SITAS,6,Pase,33,28,91,6,86,36
GEVP,12,Foul,33,31,86,37,-,-
SITAS,10,Pase,33,38,86,35,94,63
SITAS,6,Errado,33,41,95,56,-,-
GEVP,12,Foul,33,41,87,36,-,-
SITAS,6,Foul,33,50,74,44,-,-
GEVP,6,Pase,33,53,74,50,62,95
GEVP,12,Pase,33,56,46,95,21,61
GEVP,2,Errado,33,58,17,64,-,-
SITAS,15,reb_def,33,58,14,58,-,-
SITAS,15,Pase,34,0,23,58,13,20
SITAS,10,Pase,34,2,13,22,33,14
SITAS,4,Pase,34,5,30,10,23,32
SITAS,10,Pase,34,6,24,32,24,89
SITAS,2     ,Pase,34,8,23,94,46,8
SITAS,4,Pase,34,9,46,6,71,10
SITAS,12,Pase,34,10,72,10,59,46
SITAS,11,Pase,34,12,60,47,78,46
SITAS,11,Gol,34,16,78,42,-,-
GEVP,8,Pase,34,19,85,51,82,90
GEVP,12,Pase,34,20,82,89,79,47
GEVP,8,Pase,34,22,77,44,54,95
GEVP,6,Pase,34,24,50,99,10,84
SITAS,10,Foul,34,26,19,60,-,-
GEVP,8,Pase,34,32,18,92,25,50
GEVP,5,Pase,34,35,26,50,14,11
GEVP,8,Pase,34,38,17,14,31,7
GEVP,2,Pase,34,40,31,5,18,37
GEVP,11,Pase,34,42,21,30,4,74
GEVP,8,Gol,34,44,4,86,-,-
SITAS,4,Pase,34,46,5,61,43,9
SITAS,10,Pase,34,47,44,9,76,9
SITAS,6,Pase,34,49,76,11,57,11
SITAS,10,Pase,34,51,55,12,77,44
SITAS,10,Errado,34,53,72,39,-,-
GEVP,6,reb_def,34,54,86,60,-,-
GEVP,6,Pase,34,54,87,60,74,87
GEVP,8,Pase,34,56,72,89,37,89
GEVP,12,Pase,34,58,37,88,19,91
GEVP,2,Pase,34,59,20,92,53,7
GEVP,5,Pase,35,1,46,9,15,14
GEVP,12,Pase,35,5,20,7,45,18
