Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SITAS,10,Pase,37,39,37,6,47,34
SITAS,11,Pase,37,40,47,34,31,77
GEVP,2,Foul,37,49,30,79,-,-
SITAS,7,Pase,37,51,30,80,32,36
SITAS,8,Pase,37,52,34,35,44,77
SITAS,7,Pase,37,53,44,78,47,44
SITAS,8,Pase,37,56,47,45,29,59
SITAS,10,Pase,37,57,23,60,10,69
SITAS,11,Gol,37,59,11,65,-,-
GEVP,6,Pase,38,1,13,49,13,93
GEVP,12,Pase,38,2,13,93,21,49
GEVP,6,Pase,38,3,21,51,30,66
GEVP,8,Pase,38,6,30,67,32,11
GEVP,6,Pase,38,7,32,10,52,29
GEVP,5,Pase,38,10,52,29,58,91
GEVP,12,Pase,38,11,59,92,84,62
SITAS,2,Foul,38,19,85,63,-,-
GEVP,5,Pase,38,21,83,61,86,44
GEVP,12,Pase,38,23,86,51,95,88
GEVP,11,Gol,38,25,95,87,-,-
SITAS,2,Pase,38,30,88,21,57,9
SITAS,8,Pase,38,31,57,9,46,34
SITAS,10,Pase,38,33,46,32,30,45
SITAS,11,Pase,38,34,29,44,27,74
SITAS,9,Errado,38,36,23,69,-,-
GEVP,6,reb_def,38,36,12,35,-,-
GEVP,6,Pase,38,37,13,35,26,6
GEVP,5,Pase,38,40,26,6,33,33
GEVP,6,Pase,38,41,32,32,47,15
GEVP,5,Pase,38,42,47,19,65,86
GEVP,8,Gol,38,44,71,81,-,-
SITAS,8,Pase,38,46,87,49,79,91
SITAS,9,Pase,38,48,77,90,61,69
SITAS,11,Pase,38,50,60,68,39,95
SITAS,7,Zona,38,56,50,49,-,-
GEVP,6,Pase,39,3,48,49,69,49
GEVP,8,Pase,39,4,70,51,81,87
GEVP,5,Pase,39,6,82,87,66,93
GEVP,11,Pase,39,7,66,91,52,65
GEVP,8,Pase,39,10,52,64,53,22
GEVP,2,Gol,39,14,53,25,-,-
SITAS,9,Pase,39,19,83,26,75,72
SITAS,2,Pase,39,22,76,73,46,10
SITAS,7,Pase,39,23,46,11,22,10
GEVP,12,Foul,39,29,21,37,-,-
SITAS,7,Pase,39,30,27,32,20,86
SITAS,10,Pase,39,32,20,88,13,65
SITAS,11,Gol,39,33,13,65,-,-
GEVP,8,Pase,39,36,14,44,24,12
GEVP,6,Pase,39,37,25,11,23,38
GEVP,8,Pase,39,39,23,37,40,83
GEVP,12,Pase,39,41,40,85,69,89
GEVP,5,Pase,39,44,71,87,53,61
GEVP,8,Pase,39,46,53,60,73,91
GEVP,2,Pase,39,48,72,89,72,63
GEVP,8,Pase,39,49,71,47,88,48
GEVP,11,Perdida,39,52,91,54,-,-
SITAS,7,Pase,39,57,99,78,91,49
SITAS,9,Pase,39,59,91,47,68,12
SITAS,8,Pase,40,0,69,11,69,43
SITAS,7,Pase,40,2,69,41,39,25
SITAS,11,Pase,40,4,39,24,44,65
SITAS,7,Pase,40,5,44,68,25,74
SITAS,10,Pase,40,7,22,83,42,79
SITAS,8,Pase,40,9,42,78,26,92
SITAS,10,Pase,40,11,26,91,23,45
SITAS,10,Gol,40,12,23,48,-,-
GEVP,5,Pase,40,16,13,49,23,83
GEVP,6,Pase,40,18,23,83,53,96
GEVP,8,Pase,40,20,53,92,52,69
SITAS,2,Foul,40,21,82,57,-,-
GEVP,2,Pase,40,23,81,57,63,15
GEVP,12,Gol,40,25,64,18,-,-
SITAS,2,Pase,40,30,85,44,73,46
SITAS,9,Pase,40,33,74,54,69,16
SITAS,2,Pase,40,34,69,17,69,46
SITAS,9,Pase,40,36,68,45,57,48
SITAS,11,Pase,40,38,57,48,36,86
SITAS,10,Pase,40,40,46,91,39,11
SITAS,2,Pase,40,42,38,10,9,11
SITAS,7,Pase,40,43,9,11,23,26
SITAS,11,Foul,40,46,23,28,-,-
GEVP,6,Pase,40,53,22,36,57,91
GEVP,8,Pase,40,54,58,93,81,90
GEVP,5,Pase,40,56,81,88,97,78
GEVP,11,Pase,40,58,96,79,89,59
GEVP,5,Gol,40,59,91,62,-,-
SITAS,10,Pase,41,3,86,40,67,13
SITAS,2,Pase,41,4,67,13,40,10
SITAS,11,Pase,41,7,39,10,44,30
SITAS,10,Pase,41,9,44,31,45,72
SITAS,8,Pase,41,10,44,71,28,90
SITAS,7,Pase,41,11,27,91,12,84
SITAS,11,Pase,41,12,13,86,44,82
SITAS,10,Pase,41,15,45,83,22,47
SITAS,8,Pase,41,18,22,47,49,85
SITAS,10,Pase,41,20,48,86,33,96
SITAS,8,Pase,41,21,33,96,49,90
SITAS,10,Gol,41,25,47,86,-,-
GEVP,12,Pase,41,27,12,37,19,77
GEVP,6,Pase,41,29,20,77,57,10
GEVP,5,Perdida,41,31,57,10,-,-
SITAS,9,Recupero,41,32,77,64,-,-
SITAS,9,Pase,41,32,77,66,68,35
SITAS,10,Pase,41,35,68,35,54,40
SITAS,8,Pase,41,37,54,39,46,8
SITAS,2,Pase,41,39,46,9,46,36
SITAS,10,Pase,41,40,47,36,32,6
SITAS,7,Pase,41,51,25,98,30,57
SITAS,11,Gol,41,53,28,55,-,-
GEVP,8,Pase,41,56,14,45,39,94
GEVP,5,Pase,41,59,46,95,28,71
GEVP,6,Pase,42,1,27,72,54,22
GEVP,2,Pase,42,3,53,25,78,56
GEVP,11,Gol,42,4,84,60,-,-
SITAS,11,Pase,42,7,87,43,70,12
SITAS,2,Pase,42,9,69,14,64,39
SITAS,11,Pase,42,12,63,39,61,91
SITAS,9,Pase,42,14,60,91,46,61
SITAS,11,Perdida,42,16,45,58,-,-
GEVP,8,Recupero,42,16,12,80,-,-
GEVP,8,Pase,42,17,13,88,29,65
GEVP,5,Pase,42,19,29,65,42,11
GEVP,12,Pase,42,20,42,11,59,5
GEVP,11,Pase,42,22,58,7,60,83
GEVP,5,Gol,42,24,63,82,-,-
SITAS,9,Pase,42,29,85,39,69,11
SITAS,2,Pase,42,30,69,12,37,8
SITAS,8,Errado,42,32,35,10,-,-
GEVP,8,reb_def,42,45,15,80,-,-
GEVP,8,Perdida,42,46,15,79,-,-
SITAS,7,Pase,42,51,38,38,37,75
SITAS,8,Pase,42,52,37,77,40,23
SITAS,7,Pase,42,55,40,23,22,44
SITAS,11,Gol,42,56,21,42,-,-
GEVP,8,Pase,42,57,14,47,37,48
GEVP,6,Pase,42,59,38,48,32,7
GEVP,5,Pase,43,3,32,7,30,45
GEVP,6,Pase,43,5,30,46,60,91
GEVP,12,Errado,43,8,64,86,-,-
GEVP,11,reb_of,43,9,88,36,-,-
GEVP,11,Errado,43,9,88,36,-,-
GEVP,12,reb_of,43,11,79,56,-,-
GEVP,12,Pase,43,13,79,56,92,88
GEVP,8,Pase,43,19,91,87,81,39
GEVP,12,Pase,43,21,82,37,58,62
GEVP,11,Pase,43,23,57,63,86,53
GEVP,12,Gol,43,24,86,58,-,-
SITAS,7,Pase,43,28,86,42,76,83
SITAS,2,Pase,43,30,75,83,75,36
SITAS,7,Pase,43,32,74,35,55,85
SITAS,2,Pase,43,33,55,83,35,69
SITAS,11,Pase,43,35,36,70,25,91
SITAS,8,Pase,43,37,24,91,43,63
SITAS,7,Pase,43,38,43,63,41,31
SITAS,11,Pase,43,40,40,27,25,45
GEVP,5,Foul,43,43,23,47,-,-
SITAS,10,Pase,43,50,25,43,20,86
SITAS,7,Pase,43,51,19,89,38,49
SITAS,10,Pase,43,54,38,51,3,76
SITAS,8,Gol,43,56,4,78,-,-
GEVP,12,Pase,44,0,12,62,24,86
GEVP,6,Pase,44,3,24,87,76,92
GEVP,2,Pase,44,5,76,93,88,69
GEVP,11,Pase,44,7,89,69,97,15
GEVP,8,Pase,44,9,97,15,85,35
GEVP,2,Perdida,44,10,86,33,-,-
SITAS,2,sub_out,44,11,50,50,-,-
SITAS,4,sub_in,44,11,50,49,-,-
SITAS,7,Pase,44,15,85,34,68,18
SITAS,9,Pase,44,16,68,16,69,52
SITAS,7,Pase,44,17,68,53,57,84
SITAS,8,Pase,44,20,56,83,37,85
SITAS,10,Pase,44,21,36,88,54,74
SITAS,8,Pase,44,23,54,74,34,92
SITAS,11,Pase,44,25,34,92,4,80
SITAS,10,Pase,44,27,3,82,29,87
SITAS,7,Pase,44,29,29,87,18,92
SITAS,10,Pase,44,30,18,91,38,81
SITAS,8,Pase,44,32,38,80,25,94
SITAS,10,Pase,44,33,25,93,18,63
SITAS,11,Gol,44,35,16,66,-,-
GEVP,5,Pase,44,38,15,44,31,44
GEVP,6,Pase,44,41,29,44,42,10
GEVP,5,Pase,44,43,42,12,60,4
SITAS,4,Foul,44,48,83,40,-,-
GEVP,8,Pase,44,52,77,35,92,39
GEVP,5,Gol,44,52,92,34,-,-
SITAS,4,Pase,44,58,84,41,59,89
SITAS,9,Pase,45,0,58,90,52,50
SITAS,10,Pase,45,2,57,51,54,11
SITAS,4,Pase,45,3,53,11,36,15
SITAS,11,Pase,45,5,35,16,21,43
SITAS,7,Errado,45,7,26,48,-,-
GEVP,8,reb_def,45,7,13,48,-,-
GEVP,8,Pase,45,9,14,46,27,19
GEVP,12,Pase,45,11,26,16,34,49
GEVP,8,Pase,45,13,34,49,53,8
GEVP,12,Pase,45,15,54,10,75,76
GEVP,11,Pase,45,16,76,78,85,55
GEVP,5,Gol,45,18,89,63,-,-
SITAS,4,Pase,45,22,87,44,73,22
SITAS,11,Pase,45,24,73,22,74,72
SITAS,4,Pase,45,26,74,74,46,47
GEVP,8,Foul,45,31,46,49,-,-
SITAS,7,Pase,45,32,46,51,40,20
SITAS,11,Pase,45,34,40,21,33,4
SITAS,8,Pase,45,35,33,4,44,34
SITAS,10,Pase,45,37,44,36,31,87
SITAS,7,Pase,45,39,32,89,22,49
SITAS,8,Gol,45,41,23,44,-,-
GEVP,6,Pase,45,43,15,43,30,56
GEVP,5,Pase,45,47,24,55,34,11
GEVP,6,Pase,45,48,33,11,55,27
GEVP,2,Pase,45,49,55,28,70,90
GEVP,12,Pase,45,51,72,89,96,80
GEVP,8,Pase,45,54,96,80,84,95
GEVP,2,Pase,45,56,84,94,64,45
GEVP,12,Pase,45,57,64,46,69,91
GEVP,2,Pase,46,0,69,90,53,50
GEVP,8,Pase,46,2,53,51,63,93
GEVP,11,Pase,46,5,64,92,93,86
SITAS,8,Foul,46,6,94,41,-,-
GEVP,8,Pase,46,23,92,59,90,35
GEVP,12,Pase,46,24,89,36,99,78
GEVP,8,Gol,46,26,99,80,-,-
SITAS,7,Pase,46,29,86,47,78,84
SITAS,8,Pase,46,31,77,82,75,46
SITAS,7,Pase,46,34,75,44,57,87
SITAS,8,Pase,46,37,57,89,46,50
GEVP,6,Foul,46,35,46,48,-,-
SITAS,7,Pase,46,41,46,47,38,14
SITAS,11,Pase,46,44,37,14,12,74
SITAS,7,Errado,46,46,11,70,-,-
GEVP,12,reb_def,46,48,14,36,-,-
GEVP,12,Pase,46,48,14,36,24,15
GEVP,6,Pase,46,51,24,14,46,32
GEVP,5,Pase,46,52,46,32,61,5
GEVP,2,Pase,46,54,62,6,52,51
GEVP,8,Pase,46,56,53,51,76,56
GEVP,11,Errado,46,58,73,62,-,-
SITAS,10,reb_def,47,1,83,41,-,-
SITAS,10,Pase,47,1,83,40,71,89
SITAS,9,Pase,47,2,70,90,57,53
SITAS,10,Pase,47,4,55,51,43,12
SITAS,8,Pase,47,6,42,13,20,77
SITAS,11,Gol,47,8,21,68,-,-
GEVP,6,Pase,47,12,13,52,23,11
GEVP,8,Pase,47,13,24,12,56,8
GEVP,2,Pase,47,16,51,7,59,91
GEVP,12,Pase,47,18,59,91,79,66
GEVP,5,Gol,47,20,85,64,-,-
SITAS,7,Pase,47,28,88,45,54,48
SITAS,4,Pase,47,33,54,49,44,82
SITAS,10,Foul,47,39,43,83,-,-
GEVP,6,Pase,47,42,37,82,56,94
GEVP,5,Pase,47,45,57,95,61,20
GEVP,11,Pase,47,46,61,22,91,50
GEVP,2,Errado,47,48,93,51,-,-
SITAS,8,reb_def,47,57,79,54,-,-
SITAS,8,Pase,47,59,75,50,60,77
SITAS,7,Pase,48,0,59,78,40,71
GEVP,6,Foul,48,7,22,52,-,-
SITAS,7,Pase,48,18,22,46,7,32
SITAS,11,Gol,48,19,6,32,-,-
GEVP,6,sub_out,48,19,50,49,-,-
GEVP,9,sub_in,48,19,50,49,-,-
GEVP,12,Pase,48,23,14,44,34,89
GEVP,8,Pase,48,24,34,90,65,85
GEVP,2,Pase,48,30,59,79,53,30
GEVP,5,Pase,48,32,54,30,82,34
GEVP,2,Gol,48,34,86,37,-,-
SITAS,8,sub_out,48,36,50,50,-,-
SITAS,15,sub_in,48,36,50,49,-,-
SITAS,9,Pase,48,38,85,39,58,11
SITAS,4,Pase,48,39,57,11,43,33
SITAS,11,Pase,48,41,43,36,18,29
SITAS,10,Gol,48,44,17,18,-,-
GEVP,12,Pase,48,46,13,39,21,87
GEVP,8,Pase,48,50,21,88,42,26
