Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
GEVP,8,Pase,31,2,14,56,15,19,125
GEVP,5,Pase,31,4,15,16,2,42,126
GEVP,8,Pase,31,7,3,33,10,13,127
GEVP,5,Errado,31,9,14,22,-,-,128
SITAS,10,Foul,31,13,16,65,-,-,129
GEVP,8,Pase,31,16,17,64,25,43,130
GEVP,2,Gol,31,18,22,44,-,-,131
SITAS,10,Pase,31,21,16,50,24,22,132
SITAS,2     ,Pase,31,22,24,21,21,50,133
SITAS,10,Pase,31,24,23,49,31,86,134
SITAS,4,Pase,31,25,30,90,71,91,135
SITAS,7,Pase,31,27,66,90,54,66,136
SITAS,10,Pase,31,29,58,79,54,29,137
SITAS,6,Pase,31,30,55,28,74,16,138
SITAS,11,Pase,31,33,73,15,88,82,139
SITAS,11,Errado,31,35,87,79,-,-,140
SITAS,11,Foul,31,37,83,38,-,-,141
GEVP,12,reb_def,31,37,83,38,-,-,142
GEVP,12,Pase,31,38,83,37,62,7,143
GEVP,5,Pase,31,41,62,5,41,89,144
GEVP,12,Pase,31,42,40,85,10,94,145
GEVP,8,Pase,31,45,17,93,37,75,146
GEVP,11,Pase,31,46,40,85,53,39,147
GEVP,5,Pase,31,48,53,37,41,89,148
GEVP,2,Pase,31,50,50,94,46,28,149
GEVP,5,Pase,31,52,41,26,39,83,150
GEVP,12,Pase,31,53,44,82,25,40,151
SITAS,2     ,Foul,31,55,10,53,-,-,152
GEVP,5,Pase,32,2,10,58,27,87,153
GEVP,8,Pase,32,5,27,92,34,28,154
GEVP,12,Pase,32,7,37,29,21,50,155
GEVP,5,Gol,32,11,23,61,-,-,156
SITAS,2     ,Pase,32,11,11,45,29,16,157
SITAS,10,Pase,32,14,23,7,47,44,158
SITAS,4,Perdida,32,17,47,51,-,-,159
GEVP,6,Pase,32,24,99,65,90,42,160
GEVP,12,Pase,32,26,96,43,74,96,161
GEVP,5,Pase,32,27,73,93,75,78,162
GEVP,6,Pase,32,28,75,79,52,93,163
GEVP,5,Pase,32,31,42,92,2,92,164
GEVP,2,Pase,32,33,3,90,3,65,165
GEVP,8,Pase,32,34,4,62,17,95,166
GEVP,5,Pase,32,37,10,95,33,70,167
GEVP,2,Pase,32,40,34,77,26,9,168
GEVP,8,Pase,32,41,26,7,14,13,169
GEVP,5,Pase,32,42,16,14,41,12,170
SITAS,4,Foul,32,48,11,45,-,-,171
GEVP,8,Pase,32,58,7,53,14,32,172
GEVP,5,Pase,33,0,13,32,2,48,173
GEVP,8,Gol,33,1,2,49,-,-,174
SITAS,4,Pase,33,4,11,49,19,23,175
SITAS,2     ,Pase,33,21,19,22,30,85,176
SITAS,4,Pase,33,22,33,81,41,49,177
SITAS,11,Pase,33,25,46,49,63,8,178
SITAS,7,sub_out,33,24,1,4,-,-,179
SITAS,15,sub_in,33,24,1,8,-,-,180
SITAS,10,Pase,33,27,56,8,88,13,181
SITAS,6,Pase,33,28,91,6,86,36,182
GEVP,12,Foul,33,31,86,37,-,-,183
SITAS,10,Pase,33,38,86,35,94,63,184
SITAS,6,Errado,33,41,95,56,-,-,185
GEVP,12,Foul,33,41,87,36,-,-,186
SITAS,6,Foul,33,50,74,44,-,-,187
GEVP,6,Pase,33,53,74,50,62,95,188
GEVP,12,Pase,33,56,46,95,21,61,189
GEVP,2,Errado,33,58,17,64,-,-,190
SITAS,15,reb_def,33,58,14,58,-,-,191
SITAS,15,Pase,34,0,23,58,13,20,192
SITAS,10,Pase,34,2,13,22,33,14,193
SITAS,4,Pase,34,5,30,10,23,32,194
SITAS,10,Pase,34,6,24,32,24,89,195
SITAS,2     ,Pase,34,8,23,94,46,8,196
SITAS,4,Pase,34,9,46,6,71,10,197
SITAS,12,Pase,34,10,72,10,59,46,198
SITAS,11,Pase,34,12,60,47,78,46,199
SITAS,11,Gol,34,16,78,42,-,-,200
GEVP,8,Pase,34,19,85,51,82,90,201
GEVP,12,Pase,34,20,82,89,79,47,202
GEVP,8,Pase,34,22,77,44,54,95,203
GEVP,6,Pase,34,24,50,99,10,84,204
SITAS,10,Foul,34,26,19,60,-,-,205
GEVP,8,Pase,34,32,18,92,25,50,206
GEVP,5,Pase,34,35,26,50,14,11,207
GEVP,8,Pase,34,38,17,14,31,7,208
GEVP,2,Pase,34,40,31,5,18,37,209
GEVP,11,Pase,34,42,21,30,4,74,210
GEVP,8,Gol,34,44,4,86,-,-,211
SITAS,4,Pase,34,46,5,61,43,9,212
SITAS,10,Pase,34,47,44,9,76,9,213
SITAS,6,Pase,34,49,76,11,57,11,214
SITAS,10,Pase,34,51,55,12,77,44,215
SITAS,10,Errado,34,53,72,39,-,-,216
GEVP,6,reb_def,34,54,86,60,-,-,217
GEVP,6,Pase,34,54,87,60,74,87,218
GEVP,8,Pase,34,56,72,89,37,89,219
GEVP,12,Pase,34,58,37,88,19,91,220
GEVP,2,Pase,34,59,20,92,53,7,221
GEVP,5,Pase,35,1,46,9,15,14,222
GEVP,12,Pase,35,5,20,7,45,18,223
GEVP,2,Pase,35,8,47,11,14,68,224
GEVP,12,Pase,35,11,15,75,25,34,225
GEVP,5,Pase,35,15,25,29,16,43,226
GEVP,5,Errado,35,14,19,36,-,-,227
GEVP,11,reb_of,35,16,16,61,-,-,228
GEVP,11,Pase,35,20,14,67,47,54,229
GEVP,5,Pase,35,22,42,48,2,64,230
GEVP,12,Pase,35,23,3,66,24,77,231
GEVP,5,Errado,35,26,28,84,-,-,232
GEVP,11,reb_of,35,27,11,42,-,-,233
GEVP,11,Gol,35,28,9,37,-,-,234
SITAS,4,Pase,35,31,14,39,33,32,235
SITAS,11,Pase,35,33,34,34,50,57,236
SITAS,10,Pase,35,35,55,51,78,85,237
SITAS,6,Pase,35,37,80,88,73,54,238
SITAS,15,Pase,35,38,70,68,59,31,239
SITAS,10,Perdida,35,42,60,36,-,-,240
SITAS,6,Pase,35,48,65,41,23,48,241
GEVP,5,Pase,35,50,24,48,9,26,242
GEVP,8,Pase,35,52,9,26,31,36,243
GEVP,5,Errado,35,54,31,34,-,-,244
SITAS,4,reb_def,35,55,11,58,-,-,245
SITAS,4,Pase,35,55,11,56,23,78,246
SITAS,2     ,Pase,35,57,20,91,38,57,247
SITAS,10,Pase,35,59,41,53,65,89,248
SITAS,2     ,Errado,36,1,71,81,-,-,249
GEVP,12,reb_def,36,5,85,45,-,-,250
GEVP,12,Pase,36,5,85,40,70,9,251
GEVP,5,Pase,36,7,72,9,32,15,252
GEVP,2,Pase,36,9,26,10,55,10,253
GEVP,5,Pase,36,11,56,11,69,23,254
GEVP,12,Pase,36,14,70,19,77,79,255
GEVP,6,Pase,36,14,74,79,59,95,256
GEVP,8,Pase,36,15,58,94,68,69,257
