Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
GEVP,11,Pase,47,42,11,21,17,40,549
GEVP,2,Pase,47,44,19,35,7,67,550
GEVP,5,Gol,47,46,12,75,-,-,551
SITAS,9,Pase,47,51,11,49,23,91,552
SITAS,7,Pase,47,53,22,90,50,50,553
SITAS,11,Pase,47,55,51,48,81,80,554
SITAS,-,Zona,48,0,51,50,-,-,555
SITAS,15,sub_out,48,1,1,8,-,-,556
SITAS,1,sub_in,48,1,0,10,-,-,557
GEVP,6,Pase,48,10,51,49,34,12,558
GEVP,5,Pase,48,12,34,14,16,8,559
GEVP,2,Gol,48,14,18,8,-,-,560
SITAS,1,Pase,48,18,13,78,31,79,561
SITAS,10,Pase,48,20,32,83,57,96,562
GEVP,10,Foul,48,28,72,44,-,-,563
SITAS,10,Pase,48,39,72,41,85,67,564
SITAS,11,Foul,48,39,84,66,-,-,565
GEVP,6,Pase,48,54,89,58,68,44,566
GEVP,5,Pase,48,55,68,44,73,87,567
GEVP,6,Pase,48,57,74,92,33,74,568
GEVP,8,Pase,48,58,33,77,8,61,569
SITAS,2,Pase,49,4,7,76,32,11,570
SITAS,7,Pase,49,6,34,17,64,11,571
SITAS,1,Pase,49,8,64,10,44,15,572
SITAS,7,Pase,49,10,41,8,66,87,573
SITAS,2,Perdida,49,12,77,82,-,-,574
GEVP,5,Recupero,49,12,79,79,-,-,575
GEVP,5,Pase,49,13,80,74,71,96,576
GEVP,6,Pase,49,14,72,98,53,70,577
GEVP,5,Pase,49,16,48,79,30,37,578
GEVP,2,Gol,49,19,30,43,-,-,579
SITAS,-,Zona,49,23,52,49,-,-,580
GEVP,6,Pase,49,24,52,49,21,89,581
GEVP,5,Pase,49,27,21,89,10,67,582
GEVP,8,Pase,49,29,7,76,30,92,583
GEVP,5,Pase,49,30,31,90,44,60,584
GEVP,2,Pase,49,32,46,61,23,42,585
GEVP,8,Errado,49,33,13,40,-,-,586
GEVP,5,Foul,49,37,10,57,-,-,587
SITAS,11,Pase,49,41,12,52,31,29,588
SITAS,7,Pase,49,42,33,34,42,8,589
SITAS,9,Pase,49,45,41,9,50,26,590
SITAS,7,Pase,49,46,52,22,76,42,591
SITAS,10,Perdida,49,51,79,42,-,-,592
GEVP,6,Pase,49,54,80,43,65,6,593
GEVP,10,Pase,49,55,69,6,76,27,594
GEVP,6,Pase,49,57,75,23,44,93,595
GEVP,11,Pase,49,59,40,90,19,31,596
GEVP,2,Pase,50,3,17,7,4,48,597
GEVP,8,Pase,50,4,3,49,13,86,598
GEVP,5,Pase,50,6,13,87,35,94,599
GEVP,11,Pase,50,9,35,92,43,39,600
GEVP,2,Pase,50,11,44,36,24,11,601
GEVP,5,Pase,50,13,23,3,46,32,602
GEVP,8,Pase,50,15,45,39,43,8,603
GEVP,5,Pase,50,16,46,7,10,14,604
GEVP,2,Pase,50,20,19,18,13,90,605
GEVP,11,Gol,50,21,14,93,-,-,606
SITAS,7,Pase,50,26,10,54,29,70,607
SITAS,9,Pase,50,26,30,76,21,46,608
SITAS,7,Pase,50,28,24,44,45,39,609
SITAS,11,Perdida,50,30,50,36,-,-,610
GEVP,6,Recupero,50,31,74,44,-,-,611
GEVP,6,Pase,50,31,77,40,58,69,612
GEVP,8,Pase,50,37,58,69,12,51,613
GEVP,11,Perdida,50,40,10,52,-,-,614
SITAS,2,Pase,50,41,10,41,26,93,615
SITAS,7,Pase,50,42,28,96,42,70,616
SITAS,10,Pase,50,44,42,61,42,92,617
SITAS,7,Pase,50,47,42,92,64,28,618
SITAS,11,Pase,50,49,67,33,58,5,619
SITAS,10,Errado,50,52,62,12,-,-,620
GEVP,6,reb_def,50,52,82,65,-,-,621
GEVP,6,Pase,50,53,81,64,75,95,622
GEVP,8,Pase,50,55,77,92,22,93,623
GEVP,11,Pase,51,0,27,95,68,69,624
GEVP,6,Pase,51,3,69,70,57,44,625
GEVP,5,Pase,51,1,59,48,46,7,626
GEVP,10,Pase,51,2,47,7,28,8,627
GEVP,8,Pase,51,4,26,7,44,21,628
GEVP,5,Pase,51,5,45,21,11,64,629
GEVP,11,Gol,51,7,9,71,-,-,630
SITAS,7,Pase,51,11,12,48,31,17,631
SITAS,10,Pase,51,11,30,22,56,10,632
SITAS,1,Pase,51,15,56,9,74,26,633
SITAS,11,Pase,51,17,75,28,82,82,634
SITAS,10,Gol,51,19,82,83,-,-,635
GEVP,10,Pase,51,24,86,45,71,69,636
GEVP,5,Pase,51,25,70,68,28,12,637
GEVP,2,Pase,51,27,29,11,48,6,638
GEVP,5,Pase,51,30,47,7,46,56,639
GEVP,8,Pase,51,34,47,55,26,92,640
GEVP,8,Foul,51,35,28,65,-,-,641
SITAS,2,Pase,51,41,28,55,54,8,642
SITAS,7,Pase,51,43,56,13,75,8,643
SITAS,11,Pase,51,44,76,6,58,19,644
SITAS,11,Foul,51,53,85,27,-,-,645
GEVP,6,Pase,51,54,87,28,73,9,646
GEVP,5,Pase,51,56,73,8,74,30,647
GEVP,11,Perdida,52,48,3,58,-,-,648
SITAS,9,Pase,52,52,42,4,53,23,649
SITAS,10,Pase,52,55,53,35,57,77,650
SITAS,7,Pase,52,56,55,64,71,93,651
SITAS,1,Pase,52,56,68,94,86,80,652
SITAS,11,Pase,52,59,87,79,94,58,653
SITAS,7,Pase,53,0,94,59,88,50,654
SITAS,1,Errado,53,3,94,43,-,-,655
GEVP,10,reb_def,53,3,88,49,-,-,656
GEVP,10,Pase,53,4,88,49,86,23,657
GEVP,8,Pase,53,5,87,26,72,19,658
GEVP,6,Pase,53,7,72,18,76,92,659
GEVP,5,Pase,53,9,77,92,72,60,660
GEVP,10,Pase,53,12,72,60,57,22,661
GEVP,6,Pase,53,13,58,23,43,8,662
GEVP,8,Pase,53,15,42,9,64,9,663
GEVP,6,Pase,53,17,65,12,49,34,664
GEVP,11,Perdida,53,19,48,35,-,-,665
SITAS,2,Pase,53,23,21,52,46,65,666
SITAS,11,Pase,53,26,56,61,42,22,667
SITAS,9,Pase,53,26,42,26,57,6,668
SITAS,1,Pase,53,28,57,8,60,67,669
SITAS,7,Pase,53,29,60,69,77,47,670
SITAS,10,Perdida,53,36,77,50,-,-,671
GEVP,6,Pase,53,39,77,50,78,91,672
GEVP,5,Pase,53,41,77,93,70,47,673
GEVP,6,Pase,53,43,70,49,39,91,674
GEVP,5,Pase,53,44,37,96,47,57,675
GEVP,8,Pase,53,46,47,49,38,93,676
GEVP,2,Pase,53,47,37,93,15,87,677
SITAS,1,Foul,53,50,14,86,-,-,678
GEVP,5,Pase,53,52,13,91,36,87,679
GEVP,11,Pase,53,53,36,86,20,75,680
GEVP,8,Pase,53,55,22,64,41,43,681
GEVP,2,Pase,53,56,43,39,34,85,682
GEVP,11,Pase,53,57,34,89,20,58,683
GEVP,5,Pase,53,59,19,68,27,33,684
GEVP,11,Gol,54,0,27,29,-,-,685
SITAS,9,Pase,54,3,10,40,27,91,686
SITAS,2,Errado,54,6,44,94,-,-,687
